,prev_akiec,prev_bcc,prev_bkl,prev_df,prev_mel,prev_nv,prev_vasc
real_akiec,27,11,17,8,5,0,0
real_bcc,5,52,15,5,19,3,1
real_bkl,7,9,122,4,51,12,0
real_df,0,3,7,9,3,0,0
real_mel,5,7,27,5,163,15,0
real_nv,7,18,84,20,299,924,11
real_vasc,0,2,3,1,5,4,19
