epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3687002658843994,0.0005000000237487257,1.7621338367462158,0.5056532621383667,1.4617053270339966
1,0.488219678401947,0.0005000000237487257,1.4865574836730957,0.5910804271697998,1.2117201089859009
2,0.5275393724441528,0.0005000000237487257,1.3364535570144653,0.6130653023719788,1.148398518562317
3,0.5262911319732666,0.0005000000237487257,1.2750258445739746,0.6199748516082764,1.0633002519607544
4,0.5492276549339294,0.0005000000237487257,1.198508858680725,0.6243718862533569,1.049310326576233
5,0.5704478025436401,0.0005000000237487257,1.1620086431503296,0.6520100235939026,1.0017393827438354
6,0.5652987957000732,0.0005000000237487257,1.1371312141418457,0.6356784105300903,1.0214588642120361
7,0.5748166441917419,0.0005000000237487257,1.1159191131591797,0.6639447212219238,0.9227586388587952
8,0.592292070388794,0.0005000000237487257,1.0774258375167847,0.6363065242767334,0.9932183027267456
9,0.5943204760551453,0.0005000000237487257,1.0490235090255737,0.6407034993171692,0.967050313949585
10,0.5929161906242371,0.0002500000118743628,1.0378309488296509,0.6457286477088928,0.9649432897567749
11,0.610703706741333,0.0002500000118743628,1.0194249153137207,0.6494975090026855,0.9553810954093933
12,0.6002496480941772,0.0001250000059371814,1.0272120237350464,0.6520100235939026,0.9456663727760315
