epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.36058667302131653,0.0005000000237487257,1.8212158679962158,0.5565326809883118,1.2507718801498413
1,0.5312841534614563,0.0005000000237487257,1.2890361547470093,0.6017587780952454,1.1190218925476074
2,0.5866749882698059,0.0005000000237487257,1.133684515953064,0.6262562870979309,1.0235967636108398
3,0.6033702492713928,0.0005000000237487257,1.062508463859558,0.6363065242767334,0.9938668012619019
4,0.6142923831939697,0.0005000000237487257,0.9795233607292175,0.6162060499191284,1.0557538270950317
5,0.6395693421363831,0.0005000000237487257,0.9278143048286438,0.6092965006828308,1.0374621152877808
6,0.6586050987243652,0.0002500000118743628,0.8662837743759155,0.6331658363342285,0.983090877532959
7,0.6470588445663452,0.0002500000118743628,0.8771518468856812,0.641331672668457,0.9748516082763672
8,0.6492432355880737,0.0002500000118743628,0.8745020627975464,0.6180904507637024,0.9924386143684387
9,0.6642221808433533,0.0002500000118743628,0.8549696207046509,0.6394472122192383,0.9584327340126038
10,0.6667186617851257,0.0002500000118743628,0.8278683423995972,0.6576633453369141,0.8811109662055969
11,0.6757684350013733,0.0002500000118743628,0.8137569427490234,0.643216073513031,0.8996821045875549
12,0.6787330508232117,0.0002500000118743628,0.7692480087280273,0.6287688612937927,0.9978669285774231
13,0.680449366569519,0.0001250000059371814,0.777829110622406,0.6507537961006165,0.8879343271255493
14,0.6832579374313354,0.0001250000059371814,0.7651554346084595,0.6538944840431213,0.8847939968109131
15,0.6927757859230042,6.25000029685907e-05,0.7676730751991272,0.6388190984725952,0.9274784922599792
