,prev_akiec,prev_bcc,prev_bkl,prev_df,prev_mel,prev_nv,prev_vasc
real_akiec,36,7,6,9,8,2,0
real_bcc,11,39,16,8,19,3,4
real_bkl,13,8,92,5,66,17,4
real_df,2,2,0,7,6,5,0
real_mel,15,3,27,6,130,37,4
real_nv,13,14,67,24,213,992,40
real_vasc,0,2,0,2,2,2,26
