epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.24606022238731384,0.0005000000237487257,2.000417947769165,0.4239949882030487,1.5373090505599976
1,0.3897643983364105,0.0005000000237487257,1.6337186098098755,0.552135705947876,1.2129627466201782
2,0.470744252204895,0.0005000000237487257,1.4347752332687378,0.6388190984725952,1.0742013454437256
3,0.5039787888526917,0.0005000000237487257,1.3663488626480103,0.5408291220664978,1.2422397136688232
4,0.497113436460495,0.0005000000237487257,1.3243290185928345,0.5389447212219238,1.2371761798858643
5,0.5275393724441528,0.0002500000118743628,1.2785545587539673,0.5929648280143738,1.1305867433547974
6,0.5398657917976379,0.0002500000118743628,1.2392346858978271,0.6206030249595642,1.0561304092407227
7,0.5454829335212708,0.0002500000118743628,1.2383228540420532,0.6262562870979309,1.048842430114746
8,0.5473552942276001,0.0002500000118743628,1.2153675556182861,0.5942211151123047,1.131147861480713
9,0.5539085865020752,0.0002500000118743628,1.1807934045791626,0.608668327331543,1.0847909450531006
10,0.5612419843673706,0.0001250000059371814,1.1928260326385498,0.5816583037376404,1.1375219821929932
11,0.5685754418373108,0.0001250000059371814,1.179298996925354,0.6005024909973145,1.0941758155822754
12,0.5668591260910034,6.25000029685907e-05,1.1635112762451172,0.5979899764060974,1.104535698890686
